                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 1.2596,                0.82834,                 1.8127,                0.81227,                0.74106,                0.84621,                0.46742,                 1.4761,                0.82166,                    2.1,              0.0010892,              0.0010892,              0.0010892
                    141,                 1.2551,                0.82644,                 1.8209,                 0.8197,                0.75354,                0.84811,                0.46858,                 1.4655,                0.82232,                 2.1216,              0.0010826,              0.0010826,              0.0010826
                    142,                 1.2671,                0.84626,                 1.8346,                0.83008,                0.73542,                0.84507,                0.46771,                 1.4706,                0.81626,                 2.1145,               0.001076,               0.001076,               0.001076
                    143,                 1.2544,                0.83692,                 1.8019,                0.80702,                0.74705,                0.84139,                0.46795,                 1.4487,                0.81984,                 2.0983,              0.0010694,              0.0010694,              0.0010694
                    144,                 1.2535,                0.82813,                 1.8136,                0.80176,                0.75998,                0.84228,                0.46854,                 1.4663,                0.81525,                 2.1269,              0.0010628,              0.0010628,              0.0010628
                    145,                 1.2553,                0.82864,                 1.8267,                 0.7845,                0.75757,                0.84598,                0.46791,                 1.4611,                0.81366,                  2.118,              0.0010562,              0.0010562,              0.0010562
                    146,                 1.2598,                0.83171,                 1.7994,                0.79625,                0.76059,                0.83918,                0.46787,                 1.4634,                 0.8235,                  2.104,              0.0010496,              0.0010496,              0.0010496
                    147,                 1.2405,                0.82214,                 1.8317,                0.79924,                0.76003,                0.84402,                 0.4676,                 1.4678,                0.81658,                 2.1187,               0.001043,               0.001043,               0.001043
                    148,                  1.246,                0.82562,                 1.7879,                0.79568,                0.74824,                0.84288,                0.46798,                 1.4569,                0.81652,                 2.1124,              0.0010364,              0.0010364,              0.0010364
                    149,                 1.2784,                0.84297,                 1.8099,                0.78199,                0.76918,                0.84106,                0.46937,                 1.4635,                 0.8186,                 2.1021,              0.0010298,              0.0010298,              0.0010298
                    150,                  1.246,                0.81502,                 1.8148,                0.79622,                 0.7655,                0.84479,                0.46912,                 1.4685,                0.81619,                 2.1217,              0.0010232,              0.0010232,              0.0010232
                    151,                 1.2582,                0.83621,                 1.8103,                0.78778,                0.76611,                0.83841,                0.46665,                 1.4678,                0.81762,                 2.1264,              0.0010166,              0.0010166,              0.0010166
                    152,                 1.2624,                0.82968,                 1.7945,                0.78867,                0.77433,                0.84716,                0.46918,                 1.4613,                0.81617,                 2.1204,                0.00101,                0.00101,                0.00101
                    153,                  1.252,                0.82946,                 1.7848,                 0.7841,                0.77587,                0.84572,                0.46759,                 1.4623,                0.81814,                 2.1241,              0.0010034,              0.0010034,              0.0010034
                    154,                 1.2541,                0.83077,                 1.7981,                0.79532,                0.76304,                0.84682,                0.46701,                  1.459,                0.81514,                 2.1179,              0.0009968,              0.0009968,              0.0009968
                    155,                 1.2482,                0.82869,                 1.8124,                0.80162,                0.75905,                 0.8452,                0.46669,                 1.4636,                0.81504,                 2.1277,              0.0009902,              0.0009902,              0.0009902
                    156,                 1.2523,                 0.8333,                 1.7968,                0.83106,                0.73683,                0.84455,                0.46734,                 1.4589,                0.81316,                  2.126,              0.0009836,              0.0009836,              0.0009836
                    157,                 1.2414,                0.82277,                 1.7891,                0.78641,                0.77041,                0.84788,                0.46826,                 1.4678,                0.81679,                 2.1304,               0.000977,               0.000977,               0.000977
                    158,                  1.241,                0.81998,                 1.7795,                0.80146,                0.75752,                0.84767,                0.46766,                 1.4627,                0.80716,                 2.1294,              0.0009704,              0.0009704,              0.0009704
                    159,                 1.2621,                0.83436,                 1.7952,                0.80617,                 0.7481,                 0.8463,                0.47105,                 1.4493,                 0.8031,                 2.1141,              0.0009638,              0.0009638,              0.0009638
                    160,                 1.2487,                0.82247,                 1.8223,                0.79901,                0.75691,                0.84589,                0.47034,                 1.4503,                0.81353,                 2.1149,              0.0009572,              0.0009572,              0.0009572
                    161,                 1.2472,                0.82355,                 1.7973,                0.81214,                0.74309,                0.84655,                0.47076,                 1.4503,                0.80874,                  2.102,              0.0009506,              0.0009506,              0.0009506
                    162,                 1.2366,                0.81838,                  1.773,                0.80555,                0.74586,                0.84332,                0.47136,                 1.4538,                0.80959,                 2.1025,               0.000944,               0.000944,               0.000944
                    163,                 1.2439,                0.82205,                 1.8144,                0.81556,                0.74217,                0.84245,                0.46662,                 1.4639,                0.81453,                 2.1219,              0.0009374,              0.0009374,              0.0009374
                    164,                 1.2356,                0.81313,                 1.7993,                0.81853,                0.74463,                0.84382,                 0.4657,                 1.4702,                0.81534,                  2.126,              0.0009308,              0.0009308,              0.0009308
                    165,                 1.2429,                0.82087,                 1.7954,                0.79336,                0.75875,                0.84237,                0.46428,                   1.47,                0.81147,                 2.1384,              0.0009242,              0.0009242,              0.0009242
                    166,                  1.226,                0.80764,                 1.8092,                 0.7968,                0.75261,                0.84226,                0.46864,                 1.4696,                0.80844,                 2.1231,              0.0009176,              0.0009176,              0.0009176
                    167,                  1.247,                0.82241,                  1.778,                0.79289,                 0.7685,                0.84357,                0.46813,                 1.4735,                0.81833,                  2.146,               0.000911,               0.000911,               0.000911
                    168,                  1.231,                0.81398,                 1.7615,                0.79797,                0.75875,                0.84493,                0.46794,                  1.464,                0.81206,                 2.1212,              0.0009044,              0.0009044,              0.0009044
                    169,                 1.2381,                0.81901,                 1.7602,                0.78425,                0.76537,                0.84334,                0.46934,                 1.4585,                0.80856,                 2.1107,              0.0008978,              0.0008978,              0.0008978
                    170,                 1.2458,                0.81978,                 1.7735,                0.81304,                0.74524,                0.84507,                0.47208,                 1.4575,                0.80427,                 2.1136,              0.0008912,              0.0008912,              0.0008912
                    171,                 1.2245,                0.81543,                 1.7674,                0.79211,                0.76673,                0.84524,                0.46796,                 1.4612,                0.80932,                 2.1238,              0.0008846,              0.0008846,              0.0008846
                    172,                 1.2429,                0.82381,                 1.7973,                0.80057,                 0.7612,                0.84647,                0.47014,                 1.4735,                0.80477,                 2.1362,               0.000878,               0.000878,               0.000878
                    173,                 1.2355,                0.80959,                 1.7971,                 0.7805,                0.77532,                0.84765,                0.46939,                 1.4646,                0.80374,                 2.1238,              0.0008714,              0.0008714,              0.0008714
                    174,                 1.2395,                0.81188,                 1.7849,                0.79175,                0.76783,                0.84706,                0.47124,                 1.4631,                0.80612,                 2.1359,              0.0008648,              0.0008648,              0.0008648
                    175,                 1.2367,                0.81332,                 1.7642,                0.81911,                0.74497,                0.84829,                 0.4704,                  1.463,                0.80518,                 2.1143,              0.0008582,              0.0008582,              0.0008582
                    176,                 1.2273,                0.81119,                 1.7738,                0.78378,                0.77217,                 0.8469,                0.46805,                  1.463,                0.80955,                 2.1204,              0.0008516,              0.0008516,              0.0008516
                    177,                 1.2173,                0.80287,                 1.7658,                0.80257,                0.75862,                0.84196,                0.46771,                 1.4637,                0.81253,                 2.1178,               0.000845,               0.000845,               0.000845
                    178,                 1.2394,                0.81711,                 1.7856,                0.83065,                0.73767,                0.84761,                0.47329,                 1.4549,                 0.8011,                 2.1142,              0.0008384,              0.0008384,              0.0008384
                    179,                 1.2127,                0.79646,                 1.8116,                0.81834,                 0.7434,                0.84699,                0.46855,                 1.4567,                 0.8024,                  2.125,              0.0008318,              0.0008318,              0.0008318
                    180,                 1.2375,                0.81384,                 1.7678,                0.81566,                0.74586,                0.84577,                0.47189,                 1.4519,                0.80383,                 2.1167,              0.0008252,              0.0008252,              0.0008252
                    181,                 1.2291,                0.81398,                 1.7661,                0.82719,                0.74831,                 0.8459,                0.46938,                 1.4622,                0.80858,                 2.1347,              0.0008186,              0.0008186,              0.0008186
                    182,                  1.207,                0.80177,                 1.7731,                0.83351,                0.73603,                0.84407,                0.47055,                   1.46,                0.80844,                 2.1281,               0.000812,               0.000812,               0.000812
                    183,                 1.2259,                0.80887,                 1.7674,                0.78575,                0.77409,                0.84655,                0.46921,                 1.4577,                0.80769,                 2.1297,              0.0008054,              0.0008054,              0.0008054
                    184,                 1.2199,                0.80093,                 1.7667,                 0.8056,                0.75875,                0.84735,                0.47285,                 1.4536,                0.80226,                 2.1016,              0.0007988,              0.0007988,              0.0007988
                    185,                 1.2182,                0.80475,                 1.7616,                0.82322,                 0.7434,                 0.8474,                0.47165,                 1.4543,                0.80438,                 2.1128,              0.0007922,              0.0007922,              0.0007922
                    186,                 1.2249,                 0.8075,                 1.7517,                0.81315,                 0.7612,                0.84757,                 0.4709,                  1.452,                0.80593,                 2.1156,              0.0007856,              0.0007856,              0.0007856
                    187,                 1.2131,                0.79823,                 1.7788,                0.80863,                0.75741,                0.84646,                0.47127,                 1.4561,                0.80363,                 2.1203,               0.000779,               0.000779,               0.000779
                    188,                 1.2135,                0.79429,                 1.7494,                  0.808,                0.76059,                0.84493,                0.47164,                 1.4557,                0.80532,                 2.1231,              0.0007724,              0.0007724,              0.0007724
                    189,                 1.2355,                0.81233,                 1.7715,                0.81189,                0.75138,                0.84628,                0.47309,                 1.4545,                0.80377,                 2.1083,              0.0007658,              0.0007658,              0.0007658
                    190,                 1.2204,                0.80527,                 1.7668,                0.80186,                0.76269,                 0.8463,                0.47273,                 1.4638,                  0.807,                 2.1107,              0.0007592,              0.0007592,              0.0007592
                    191,                 1.2123,                0.79807,                 1.7636,                0.78488,                0.76826,                0.84719,                0.47279,                 1.4573,                0.80442,                 2.1123,              0.0007526,              0.0007526,              0.0007526
                    192,                 1.2111,                0.79952,                 1.7508,                0.81815,                0.74401,                0.84709,                0.47448,                 1.4502,                0.79745,                 2.1107,               0.000746,               0.000746,               0.000746
                    193,                  1.229,                0.80609,                  1.766,                 0.8213,                 0.7434,                0.84653,                 0.4713,                 1.4596,                0.80427,                 2.1139,              0.0007394,              0.0007394,              0.0007394
                    194,                 1.2178,                0.79823,                 1.7627,                0.81449,                0.74401,                0.84525,                0.47159,                 1.4626,                0.80544,                 2.1157,              0.0007328,              0.0007328,              0.0007328
                    195,                 1.2211,                0.80632,                 1.7711,                0.80851,                0.75015,                0.84574,                0.47435,                  1.459,                0.80135,                  2.124,              0.0007262,              0.0007262,              0.0007262
                    196,                 1.2067,                0.79091,                 1.7595,                0.80875,                0.75281,                0.84943,                0.47272,                 1.4641,                0.80159,                 2.1242,              0.0007196,              0.0007196,              0.0007196
                    197,                 1.2065,                0.78879,                 1.7695,                0.80462,                0.76304,                0.84865,                0.47491,                  1.461,                0.80505,                 2.1218,               0.000713,               0.000713,               0.000713
                    198,                  1.216,                0.80106,                 1.7602,                0.79825,                0.76857,                 0.8473,                 0.4723,                 1.4595,                 0.7991,                 2.1252,              0.0007064,              0.0007064,              0.0007064
                    199,                 1.1896,                0.78754,                 1.7644,                0.80895,                0.74708,                0.84569,                 0.4726,                 1.4592,                0.80196,                 2.1131,              0.0006998,              0.0006998,              0.0006998
                    200,                  1.213,                0.79362,                 1.7641,                0.81037,                0.75554,                0.84924,                0.47317,                  1.471,                0.80051,                 2.1192,              0.0006932,              0.0006932,              0.0006932
                    201,                 1.2111,                0.79447,                 1.7236,                0.80811,                0.75745,                0.84848,                0.47259,                 1.4633,                0.79871,                 2.1276,              0.0006866,              0.0006866,              0.0006866
                    202,                   1.19,                0.78898,                 1.7601,                0.78302,                0.77778,                0.84754,                0.47499,                 1.4556,                0.80143,                 2.1196,                0.00068,                0.00068,                0.00068
                    203,                 1.2068,                0.79377,                 1.7448,                0.81211,                0.75752,                0.84828,                0.47317,                  1.456,                0.80133,                 2.1133,              0.0006734,              0.0006734,              0.0006734
                    204,                 1.2081,                0.79772,                 1.7381,                0.81098,                0.76304,                 0.8507,                0.47634,                  1.459,                0.79878,                 2.1175,              0.0006668,              0.0006668,              0.0006668
                    205,                 1.2123,                0.79714,                 1.7426,                0.80847,                0.76304,                0.84896,                0.47383,                 1.4592,                0.79924,                 2.1256,              0.0006602,              0.0006602,              0.0006602
                    206,                 1.2067,                0.78216,                 1.7475,                 0.8019,                 0.7698,                0.85105,                0.47356,                 1.4625,                0.79837,                 2.1249,              0.0006536,              0.0006536,              0.0006536
                    207,                 1.2104,                0.79451,                 1.7549,                0.79847,                0.76734,                0.84844,                0.47513,                 1.4593,                0.79858,                 2.1245,               0.000647,               0.000647,               0.000647
                    208,                  1.196,                0.78293,                 1.7538,                0.79974,                0.77041,                0.85135,                  0.478,                 1.4527,                0.79517,                 2.1098,              0.0006404,              0.0006404,              0.0006404
                    209,                 1.2017,                0.78495,                 1.7714,                0.81313,                 0.7655,                0.85234,                0.48026,                  1.454,                0.79329,                 2.1243,              0.0006338,              0.0006338,              0.0006338
                    210,                 1.2009,                0.79483,                 1.7469,                0.80563,                0.76673,                0.84918,                0.47334,                 1.4606,                0.79057,                 2.1365,              0.0006272,              0.0006272,              0.0006272
                    211,                 1.1904,                0.78017,                 1.7642,                0.80743,                0.76187,                0.84867,                0.47395,                 1.4552,                0.79365,                 2.1164,              0.0006206,              0.0006206,              0.0006206
                    212,                 1.1977,                0.78174,                 1.7449,                0.82178,                0.75875,                0.85226,                0.47443,                  1.458,                 0.7944,                 2.1198,               0.000614,               0.000614,               0.000614
                    213,                 1.1929,                0.78674,                 1.7394,                0.81894,                0.76489,                0.85399,                0.47583,                 1.4547,                0.79026,                 2.1157,              0.0006074,              0.0006074,              0.0006074
                    214,                 1.1972,                0.78042,                 1.7469,                0.80052,                0.77599,                0.85231,                0.47535,                 1.4647,                0.79136,                 2.1334,              0.0006008,              0.0006008,              0.0006008
                    215,                 1.1908,                0.77995,                 1.7512,                0.80036,                0.76734,                0.85273,                0.47525,                 1.4633,                 0.7952,                 2.1371,              0.0005942,              0.0005942,              0.0005942
                    216,                 1.1986,                0.78332,                 1.7366,                0.81699,                0.75635,                0.85138,                0.47547,                 1.4579,                0.79508,                 2.1277,              0.0005876,              0.0005876,              0.0005876
                    217,                 1.2039,                0.79014,                 1.7309,                0.79272,                0.77655,                0.85114,                0.47435,                 1.4615,                0.79594,                 2.1188,               0.000581,               0.000581,               0.000581
                    218,                 1.1973,                0.78678,                 1.7311,                0.80132,                0.77164,                0.85113,                0.47399,                   1.46,                0.79546,                 2.1225,              0.0005744,              0.0005744,              0.0005744
                    219,                 1.1894,                0.77912,                 1.7522,                0.81564,                0.75322,                0.85078,                0.47341,                 1.4654,                0.79645,                 2.1283,              0.0005678,              0.0005678,              0.0005678
                    220,                 1.2024,                0.78864,                 1.7345,                0.81516,                0.76611,                0.85391,                0.47661,                 1.4557,                0.79692,                 2.1237,              0.0005612,              0.0005612,              0.0005612
                    221,                 1.1879,                0.77651,                 1.7395,                 0.8297,                 0.7477,                0.85122,                0.47237,                 1.4609,                0.79724,                 2.1265,              0.0005546,              0.0005546,              0.0005546
                    222,                 1.2031,                0.78948,                 1.7305,                0.82865,                0.74586,                0.84896,                0.47227,                 1.4588,                0.80122,                 2.1202,               0.000548,               0.000548,               0.000548
                    223,                 1.1945,                0.78362,                 1.7556,                0.81755,                0.75936,                0.85016,                0.47337,                 1.4594,                0.79843,                  2.119,              0.0005414,              0.0005414,              0.0005414
                    224,                 1.1894,                0.77186,                   1.74,                0.82744,                0.75261,                0.85007,                0.47709,                 1.4499,                0.79447,                 2.1125,              0.0005348,              0.0005348,              0.0005348
                    225,                 1.1935,                0.77804,                 1.7192,                0.80986,                0.76611,                0.84852,                0.47365,                 1.4567,                0.79578,                 2.1184,              0.0005282,              0.0005282,              0.0005282
                    226,                 1.1922,                0.78276,                 1.7493,                 0.8226,                0.75384,                0.84872,                0.47342,                 1.4535,                0.79426,                 2.1219,              0.0005216,              0.0005216,              0.0005216
                    227,                 1.2029,                0.79315,                 1.7227,                0.82641,                0.75077,                0.84977,                0.47297,                 1.4562,                0.79419,                 2.1183,               0.000515,               0.000515,               0.000515
                    228,                 1.1952,                0.77751,                 1.7358,                0.83274,                0.74033,                0.85021,                0.47304,                 1.4545,                 0.7918,                  2.122,              0.0005084,              0.0005084,              0.0005084
                    229,                 1.1848,                0.77253,                 1.7412,                0.82085,                0.75382,                0.85195,                 0.4741,                 1.4567,                0.79276,                 2.1233,              0.0005018,              0.0005018,              0.0005018
                    230,                 1.1885,                0.77588,                 1.7152,                0.83152,                0.74954,                0.85148,                0.47466,                 1.4569,                0.79386,                 2.1277,              0.0004952,              0.0004952,              0.0004952
                    231,                 1.1757,                0.77245,                 1.7173,                 0.8188,                0.75451,                0.85124,                0.47625,                 1.4544,                0.79255,                  2.114,              0.0004886,              0.0004886,              0.0004886
                    232,                 1.1969,                 0.7873,                 1.7155,                0.81505,                0.75747,                0.85049,                0.47395,                 1.4586,                0.79771,                 2.1275,               0.000482,               0.000482,               0.000482
                    233,                  1.179,                0.76886,                 1.7385,                0.81469,                0.76059,                 0.8487,                0.47406,                 1.4594,                0.79802,                 2.1235,              0.0004754,              0.0004754,              0.0004754
                    234,                 1.1747,                0.76245,                 1.7242,                0.82161,                  0.752,                0.85184,                0.47459,                 1.4563,                0.79658,                 2.1194,              0.0004688,              0.0004688,              0.0004688
                    235,                   1.18,                0.77193,                 1.7325,                0.82311,                  0.752,                0.85153,                0.47607,                 1.4569,                0.79214,                 2.1228,              0.0004622,              0.0004622,              0.0004622
                    236,                 1.1825,                 0.7695,                  1.739,                0.80999,                0.76304,                0.84811,                0.47722,                 1.4561,                0.79774,                 2.1254,              0.0004556,              0.0004556,              0.0004556
                    237,                 1.1774,                0.76674,                 1.7315,                 0.8191,                0.75445,                0.85125,                0.47599,                 1.4547,                0.79573,                 2.1298,               0.000449,               0.000449,               0.000449
                    238,                 1.1745,                0.76874,                 1.7305,                0.80416,                 0.7688,                0.84819,                0.47639,                 1.4586,                 0.7942,                  2.115,              0.0004424,              0.0004424,              0.0004424
                    239,                 1.1813,                0.77361,                 1.7131,                0.81166,                0.76453,                0.84889,                0.47849,                 1.4583,                0.79354,                 2.1227,              0.0004358,              0.0004358,              0.0004358
                    240,                 1.1784,                0.76515,                 1.7173,                 0.7959,                0.77287,                0.84877,                0.47648,                 1.4599,                0.79386,                 2.1274,              0.0004292,              0.0004292,              0.0004292
                    241,                 1.1779,                0.76947,                 1.7257,                0.80718,                0.76323,                 0.8514,                0.47705,                 1.4577,                0.79306,                 2.1274,              0.0004226,              0.0004226,              0.0004226
                    242,                 1.1825,                0.77433,                 1.7065,                  0.803,                0.77572,                0.85156,                0.47695,                 1.4577,                0.79482,                 2.1209,               0.000416,               0.000416,               0.000416
                    243,                 1.1875,                0.77914,                 1.7286,                0.80701,                0.77287,                0.85304,                0.47674,                 1.4573,                0.79252,                 2.1238,              0.0004094,              0.0004094,              0.0004094
                    244,                 1.1847,                0.77505,                   1.72,                0.81143,                0.76605,                 0.8517,                0.47502,                 1.4597,                0.79406,                 2.1247,              0.0004028,              0.0004028,              0.0004028
                    245,                 1.1634,                0.76076,                 1.7016,                0.81828,                0.76294,                0.85121,                0.47646,                 1.4599,                 0.7965,                 2.1231,              0.0003962,              0.0003962,              0.0003962
                    246,                 1.1794,                0.77048,                 1.7175,                0.82547,                0.75875,                0.85371,                0.47697,                 1.4617,                0.79245,                  2.131,              0.0003896,              0.0003896,              0.0003896
                    247,                 1.1646,                0.76608,                 1.7121,                0.82646,                0.75568,                0.85165,                0.47477,                 1.4601,                0.79564,                 2.1376,               0.000383,               0.000383,               0.000383
                    248,                 1.1636,                0.76551,                 1.7274,                0.80829,                 0.7655,                0.85111,                0.47522,                 1.4611,                0.79966,                 2.1347,              0.0003764,              0.0003764,              0.0003764
                    249,                 1.1533,                0.75737,                 1.7269,                0.81596,                0.75752,                0.84979,                0.47466,                 1.4617,                0.80026,                  2.136,              0.0003698,              0.0003698,              0.0003698
                    250,                 1.1705,                0.76457,                 1.7245,                0.81097,                0.76243,                0.84882,                0.47433,                 1.4634,                0.79734,                  2.137,              0.0003632,              0.0003632,              0.0003632
                    251,                 1.1675,                0.76468,                 1.6993,                0.81521,                0.76371,                0.85136,                0.47624,                  1.458,                0.79954,                 2.1342,              0.0003566,              0.0003566,              0.0003566
                    252,                  1.176,                0.76871,                 1.7255,                0.80861,                 0.7703,                0.85196,                0.47699,                  1.455,                0.79668,                 2.1275,                0.00035,                0.00035,                0.00035
                    253,                 1.1647,                0.76129,                 1.7059,                0.81807,                0.76489,                0.85354,                0.47829,                 1.4607,                0.79378,                 2.1244,              0.0003434,              0.0003434,              0.0003434
                    254,                 1.1623,                 0.7577,                 1.7312,                0.81386,                0.76734,                0.85219,                0.47683,                 1.4619,                0.79546,                 2.1256,              0.0003368,              0.0003368,              0.0003368
                    255,                 1.1614,                0.75511,                 1.7163,                0.81853,                 0.7612,                0.85131,                0.47711,                 1.4628,                0.79355,                 2.1344,              0.0003302,              0.0003302,              0.0003302
                    256,                 1.1595,                 0.7597,                 1.7001,                0.81793,                0.76366,                0.85453,                0.47831,                 1.4632,                0.79422,                 2.1341,              0.0003236,              0.0003236,              0.0003236
                    257,                 1.1636,                0.76894,                 1.7019,                 0.8166,                0.76533,                0.85461,                0.47718,                 1.4625,                0.79534,                 2.1309,               0.000317,               0.000317,               0.000317
                    258,                 1.1675,                0.76763,                 1.6952,                0.82931,                0.75752,                0.85579,                0.47693,                 1.4633,                0.79885,                 2.1233,              0.0003104,              0.0003104,              0.0003104
                    259,                 1.1497,                0.76029,                 1.7223,                0.82104,                0.76182,                0.85429,                0.47644,                 1.4612,                0.79491,                 2.1208,              0.0003038,              0.0003038,              0.0003038
                    260,                 1.1648,                0.75502,                 1.7068,                0.81646,                0.76489,                0.85474,                0.47833,                 1.4558,                0.79538,                 2.1167,              0.0002972,              0.0002972,              0.0002972
                    261,                 1.1432,                0.74982,                 1.7093,                0.81247,                0.76594,                 0.8532,                0.47816,                 1.4579,                0.79634,                 2.1195,              0.0002906,              0.0002906,              0.0002906
                    262,                 1.1736,                 0.7715,                 1.7155,                0.81656,                0.75966,                0.85096,                0.47693,                 1.4587,                0.79431,                 2.1181,               0.000284,               0.000284,               0.000284
                    263,                 1.1588,                0.76407,                 1.7121,                0.81544,                0.75674,                0.85051,                0.47759,                 1.4585,                0.79438,                 2.1177,              0.0002774,              0.0002774,              0.0002774
                    264,                 1.1489,                0.74898,                 1.7268,                  0.824,                0.75752,                0.85206,                0.47523,                 1.4616,                0.79444,                 2.1258,              0.0002708,              0.0002708,              0.0002708
                    265,                 1.1643,                 0.7624,                 1.7247,                0.81912,                0.75691,                0.85251,                0.47329,                 1.4595,                0.79544,                 2.1273,              0.0002642,              0.0002642,              0.0002642
                    266,                 1.1574,                0.75927,                 1.6949,                0.81589,                0.76171,                0.85304,                0.47464,                 1.4626,                0.79475,                  2.128,              0.0002576,              0.0002576,              0.0002576
                    267,                 1.1589,                0.75993,                 1.7016,                0.80995,                0.76391,                0.85079,                 0.4765,                 1.4608,                0.79584,                 2.1263,               0.000251,               0.000251,               0.000251
                    268,                  1.153,                0.75803,                 1.7099,                0.81364,                 0.7612,                0.85145,                0.47758,                 1.4596,                0.79441,                 2.1276,              0.0002444,              0.0002444,              0.0002444
                    269,                 1.1558,                0.75121,                 1.6986,                0.82264,                0.75453,                0.85155,                0.47489,                  1.461,                0.79581,                 2.1333,              0.0002378,              0.0002378,              0.0002378
                    270,                 1.1509,                0.75172,                 1.6872,                0.81634,                0.75856,                0.85413,                0.47504,                 1.4598,                0.79679,                 2.1305,              0.0002312,              0.0002312,              0.0002312
                    271,                  1.148,                0.75501,                 1.7014,                0.81298,                0.76059,                0.85322,                0.47584,                 1.4603,                0.79795,                 2.1259,              0.0002246,              0.0002246,              0.0002246
                    272,                 1.1457,                0.75582,                 1.7019,                0.81963,                0.75597,                0.85152,                0.47606,                 1.4626,                0.79899,                 2.1287,               0.000218,               0.000218,               0.000218
                    273,                 1.1615,                0.76536,                 1.6875,                0.82014,                0.75445,                0.84992,                0.47569,                 1.4626,                0.79732,                 2.1275,              0.0002114,              0.0002114,              0.0002114
                    274,                 1.1497,                0.75719,                 1.6993,                0.81888,                 0.7577,                0.85086,                0.47684,                 1.4632,                0.79828,                 2.1306,              0.0002048,              0.0002048,              0.0002048
                    275,                 1.1496,                0.75504,                 1.7161,                0.81246,                0.76304,                0.84973,                0.47783,                 1.4617,                 0.7973,                 2.1262,              0.0001982,              0.0001982,              0.0001982
                    276,                 1.1504,                0.75719,                 1.6953,                0.81828,                0.76243,                0.85159,                0.47628,                 1.4601,                0.79728,                 2.1251,              0.0001916,              0.0001916,              0.0001916
                    277,                 1.1389,                0.75399,                 1.7163,                0.81323,                0.76182,                0.84995,                0.47684,                 1.4612,                0.79618,                 2.1279,               0.000185,               0.000185,               0.000185
                    278,                 1.1508,                0.75623,                  1.681,                0.81728,                0.76335,                 0.8527,                 0.4779,                 1.4598,                0.79589,                 2.1273,              0.0001784,              0.0001784,              0.0001784
                    279,                   1.16,                0.76177,                 1.7016,                0.81385,                 0.7676,                0.85302,                0.47835,                  1.458,                0.79644,                 2.1254,              0.0001718,              0.0001718,              0.0001718
                    280,                 1.1554,                0.75502,                 1.6748,                0.82453,                0.75813,                0.85374,                0.47594,                 1.4604,                0.79648,                 2.1284,              0.0001652,              0.0001652,              0.0001652
                    281,                 1.1415,                0.75631,                 1.7041,                0.82536,                0.75506,                0.85359,                0.47793,                 1.4603,                0.79537,                 2.1275,              0.0001586,              0.0001586,              0.0001586
                    282,                 1.1357,                0.74697,                 1.6896,                0.82728,                0.75077,                0.85261,                 0.4757,                 1.4626,                0.79681,                 2.1256,               0.000152,               0.000152,               0.000152
                    283,                 1.1521,                0.75205,                 1.6968,                0.82401,                0.75592,                0.85238,                0.47591,                 1.4629,                0.79892,                 2.1241,              0.0001454,              0.0001454,              0.0001454
                    284,                 1.1389,                0.74513,                 1.7071,                0.81415,                0.76103,                 0.8533,                0.47642,                 1.4609,                 0.7975,                 2.1237,              0.0001388,              0.0001388,              0.0001388
                    285,                 1.1489,                0.75144,                 1.6946,                0.81742,                0.75998,                0.85214,                 0.4771,                 1.4639,                0.79717,                 2.1222,              0.0001322,              0.0001322,              0.0001322
                    286,                 1.1479,                0.75329,                 1.6922,                0.81379,                0.75875,                0.85272,                 0.4762,                 1.4624,                0.79572,                 2.1268,              0.0001256,              0.0001256,              0.0001256
                    287,                 1.1334,                0.74872,                 1.6803,                0.81085,                0.76427,                0.85366,                0.47661,                 1.4619,                0.79528,                 2.1278,               0.000119,               0.000119,               0.000119
                    288,                 1.1316,                0.74487,                 1.7001,                0.81406,                0.76594,                0.85339,                0.47533,                 1.4637,                0.79807,                 2.1294,              0.0001124,              0.0001124,              0.0001124
                    289,                 1.1407,                0.74931,                 1.7092,                0.81284,                0.76673,                0.85335,                0.47628,                 1.4636,                0.79642,                 2.1263,              0.0001058,              0.0001058,              0.0001058
                    290,                 1.1446,                0.74692,                 1.6997,                0.81773,                0.76562,                0.85362,                0.47698,                 1.4622,                0.79781,                 2.1248,               9.92e-05,               9.92e-05,               9.92e-05
                    291,                 1.1174,                0.75041,                  1.732,                0.80258,                0.77716,                0.85105,                0.47556,                 1.4643,                0.80153,                 2.1385,               9.26e-05,               9.26e-05,               9.26e-05
                    292,                 1.1182,                0.73813,                 1.7363,                0.81301,                  0.766,                0.84952,                0.47351,                 1.4663,                0.80313,                 2.1409,                8.6e-05,                8.6e-05,                8.6e-05
                    293,                  1.104,                0.72943,                 1.7278,                0.80831,                0.77141,                0.84946,                0.47392,                 1.4645,                0.80241,                  2.137,               7.94e-05,               7.94e-05,               7.94e-05
                    294,                 1.1091,                0.73271,                 1.7242,                 0.8159,                0.76611,                0.84989,                0.47489,                 1.4658,                0.80158,                 2.1339,               7.28e-05,               7.28e-05,               7.28e-05
                    295,                 1.1018,                0.72723,                 1.7293,                0.80529,                0.77225,                0.84969,                0.47521,                 1.4643,                0.80065,                 2.1305,               6.62e-05,               6.62e-05,               6.62e-05
