                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4805,                 1.0113,                 2.1569,                 0.7829,                0.70534,                0.79356,                0.42029,                 1.5534,                0.96055,                 2.2277,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.4898,                   1.02,                 2.1213,                0.81187,                 0.6992,                0.80405,                 0.4266,                 1.5375,                0.96658,                 2.2373,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.4661,                 1.0134,                 2.1534,                0.78782,                0.71571,                0.79844,                0.42022,                 1.5745,                0.95538,                 2.2434,               0.001769,               0.001769,               0.001769
                     38,                 1.4593,                 1.0082,                 2.1061,                0.80426,                0.69736,                0.80353,                0.43034,                 1.5485,                0.94851,                 2.2351,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.4682,                 1.0184,                 2.1098,                0.79496,                0.70687,                 0.7943,                0.42059,                 1.5404,                 1.0066,                 2.2151,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.4581,                 1.0123,                  2.074,                0.77981,                0.72192,                0.80579,                0.42903,                 1.5473,                0.94026,                 2.2137,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.4753,                 1.0289,                  2.049,                0.78543,                0.71681,                0.79959,                0.42389,                 1.5474,                0.94743,                 2.1897,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.4436,                 1.0049,                 2.0888,                0.79553,                0.70718,                0.79996,                0.43573,                 1.5112,                0.94586,                 2.1595,               0.001736,               0.001736,               0.001736
                     43,                 1.4566,                0.99036,                  2.059,                0.81321,                 0.7109,                0.81235,                0.43514,                 1.5361,                0.92494,                 2.1866,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4337,                0.99453,                 2.0776,                0.79368,                0.70607,                0.80453,                0.42689,                  1.546,                0.93941,                 2.2023,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.4369,                0.99269,                 2.0447,                0.79314,                0.71555,                0.80444,                0.43852,                 1.5125,                0.92963,                 2.1834,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.4386,                0.99381,                 2.0232,                0.81007,                0.71215,                0.80693,                0.43669,                  1.527,                0.94173,                 2.1811,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.4453,                  1.001,                 2.0568,                0.81435,                0.70411,                0.81332,                0.43893,                 1.5037,                0.91539,                 2.1628,               0.001703,               0.001703,               0.001703
                     48,                 1.4318,                0.99538,                 2.0641,                0.82271,                0.70931,                0.81338,                0.42364,                 1.5806,                0.93143,                 2.2647,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.4405,                0.99618,                 2.0444,                0.78734,                0.72502,                0.80901,                0.42559,                 1.5639,                0.93239,                  2.206,              0.0016898,              0.0016898,              0.0016898
                     50,                  1.408,                0.96946,                  2.048,                0.80099,                0.72805,                0.81574,                0.43575,                 1.5214,                0.94687,                 2.1815,              0.0016832,              0.0016832,              0.0016832
                     51,                  1.394,                0.95405,                 2.0209,                0.78653,                0.71247,                0.80454,                0.42382,                 1.5644,                0.95888,                 2.2076,              0.0016766,              0.0016766,              0.0016766
                     52,                 1.4266,                  0.997,                 2.0132,                0.81082,                0.71946,                0.82176,                0.45172,                 1.4924,                0.89535,                 2.1529,                0.00167,                0.00167,                0.00167
                     53,                 1.4256,                0.97418,                 2.0019,                  0.806,                0.71665,                0.81597,                0.43667,                 1.5325,                0.92157,                  2.193,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.3988,                 0.9655,                 2.0236,                0.78248,                0.73754,                0.82465,                0.43514,                 1.5528,                0.91168,                 2.1981,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.4079,                0.96331,                  1.993,                0.80894,                0.72437,                 0.8234,                0.44354,                 1.5183,                0.89277,                 2.1837,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.3981,                0.95639,                 2.0057,                0.80312,                0.73419,                0.82117,                0.43863,                 1.5269,                0.90803,                 2.1746,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.3853,                0.95423,                 1.9876,                0.79633,                0.71762,                0.81508,                0.43847,                 1.5165,                0.90166,                 2.1646,               0.001637,               0.001637,               0.001637
                     58,                   1.39,                0.96291,                  1.983,                0.80736,                0.72498,                0.82334,                0.44524,                 1.5072,                0.89064,                 2.1677,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.3957,                0.94772,                 1.9939,                0.82674,                0.71087,                0.82088,                0.44333,                 1.5011,                0.89174,                 2.1414,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.3865,                0.95351,                 1.9885,                0.80508,                0.73419,                0.82265,                0.44401,                 1.5148,                0.91522,                 2.1669,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.3746,                0.94224,                 1.9827,                0.82021,                0.73297,                0.81992,                0.43864,                 1.5172,                0.90384,                  2.187,              0.0016106,              0.0016106,              0.0016106
